nadir,risk,lo,hi
38.0,0.32325608152133656,0.24058703874577667,0.4186707602681613
38.29213483146067,0.3171088660152018,0.237535939590813,0.40903787160065785
38.58426966292135,0.31102482379214846,0.2345019459330603,0.39948719818732903
38.87640449438202,0.3050053745170629,0.23148451689104255,0.390026290457504
39.168539325842694,0.2990518569155481,0.22848303399190553,0.38066251776299487
39.46067415730337,0.29316552855377104,0.22549679156569286,0.37140306140600887
39.752808988764045,0.28734756580516074,0.222524985651495,0.36225491081779243
40.04494382022472,0.28159906399828816,0.21956670118405205,0.35322486317449275
40.337078651685395,0.27592103773971455,0.21662089720219582,0.34431952674692495
40.62921348314607,0.27031442140510026,0.21368638979627713,0.33554532828836475
40.92134831460674,0.26478006979142843,0.21076183249520983,0.32690852476462784
41.21348314606742,0.25931875892282286,0.2078456937926569,0.3184152197160868
41.50561797752809,0.2539311870021111,0.20493623153829407,0.3100713844999498
41.79775280898876,0.24861797550001358,0.20203146399267763,0.3018828845746357
42.08988764044944,0.24337967037363098,0.1991291374909024,0.29385551082864336
42.38202247191011,0.23821674340573235,0.19622669092184875,0.2859950156831569
42.674157303370784,0.23312959365623961,0.193321217664217,0.2783071532530221
42.96629213483146,0.2281185490172413,0.19040942630643423,0.27079772215600834
43.258426966292134,0.22318386786285146,0.1874876025157741,0.26347260851458826
43.550561797752806,0.21832574078526007,0.18455157593018298,0.25633782518030557
43.842696629213485,0.2135442924083891,0.18159669803799447,0.24939954111449641
44.13483146067416,0.2088395832706792,0.17861783974696283,0.24266409211961865
44.42696629213483,0.2042116117686759,0.1756094206385763,0.23613796081894872
44.71910112359551,0.19966032218617957,0.1725654896486434,0.2298277183757331
45.01123595505618,0.19518725957688488,0.16948114512992116,0.22374197103679566
45.30337078651685,0.19079765340788435,0.16635506657608154,0.2178929090691243
45.59550561797753,0.1864968452397003,0.16318799187797556,0.21229039420133436
45.8876404494382,0.1822897115175197,0.1599828034007245,0.20694070521799876
46.17977528089888,0.17818067521031855,0.15674492239723933,0.20184619768798234
46.47191011235955,0.17417371997050546,0.15348254789280327,0.19700513295961042
46.764044943820224,0.17027240660097157,0.15020666820211617,0.19241174648111278
47.056179775280896,0.16647989160460666,0.146930807205088,0.1880565914695975
47.348314606741575,0.16279894758449373,0.14367051908857326,0.18392714236591393
47.640449438202246,0.15923198526095203,0.14044269787079275,0.18000858995708552
47.932584269662925,0.15578107687403978,0.13726480288505286,0.17628472529283273
48.2247191011236,0.1524479807466753,0.13415410745882403,0.17273880360993213
48.51685393258427,0.1492341667937513,0.1311270570481124,0.1693543006338145
48.80898876404494,0.1461408427760488,0.12819878678993532,0.16611551012745635
