gamma,delta,rr_adj
1.5,0.0,1.579442963870093
1.5,0.024999999999999998,1.5643286771344944
1.5,0.049999999999999996,1.5493583359868532
1.5,0.075,1.5345298938074363
1.5,0.09999999999999999,1.519841342591976
1.5,0.12499999999999999,1.5052907120452061
1.5,0.15,1.4908760686998077
1.5,0.175,1.4765955150599477
1.5,0.19999999999999998,1.462447188768605
1.5,0.22499999999999998,1.4484292617979195
1.5,0.24999999999999997,1.4345399396618277
1.5,0.27499999999999997,1.4207774606502668
1.5,0.3,1.407140095084265
1.5,0.32499999999999996,1.3936261445912586
1.5,0.35,1.3802339413999911
1.5,0.37499999999999994,1.3669618476543854
1.5,0.39999999999999997,1.3538082547457941
1.5,0.425,1.340771582663057
1.5,0.44999999999999996,1.3278502793598128
1.5,0.475,1.3150428201385356
1.5,0.49999999999999994,1.3023477070507785
1.5,0.5249999999999999,1.289763468313133
1.5,0.5499999999999999,1.277288657738423
1.5,0.575,1.2649218541816765
1.5,0.6,1.2526616610004186
2.0,0.0,1.579442963870093
2.0,0.024999999999999998,1.5549554760581537
2.0,0.049999999999999996,1.5308447188279362
2.0,0.075,1.5071020647615392
2.0,0.09999999999999999,1.483719147877966
2.0,0.12499999999999999,1.4606878538046726
2.0,0.15,1.4380003103891894
2.0,0.175,1.4156488787280093
2.0,0.19999999999999998,1.3936261445912586
2.0,0.22499999999999998,1.3719249102229274
2.0,0.24999999999999997,1.3505381864976158
2.0,0.27499999999999997,1.3294591854158337
2.0,0.3,1.3086813129209343
2.0,0.32499999999999996,1.2881981620217071
2.0,0.35,1.2680035062055677
2.0,0.37499999999999994,1.2480912931281156
2.0,0.39999999999999997,1.228455638565628
2.0,0.425,1.2090908206177955
2.0,0.44999999999999996,1.1899912741487004
2.0,0.475,1.1711515854546948
2.0,0.49999999999999994,1.1525664871484465
2.0,0.5249999999999999,1.134230853248993
2.0,0.5499999999999999,1.1161396944681992
2.0,0.575,1.0982881536845017
2.0,0.6,1.0806715015953268
2.5,0.0,1.579442963870093
2.5,0.024999999999999998,1.548574371742339
2.5,0.049999999999999996,1.5183032362364122
2.5,0.075,1.4886123780884264
2.5,0.09999999999999999,1.4594852704116048
2.5,0.12499999999999999,1.430906008020241
2.5,0.15,1.4028592784684681
2.5,0.175,1.375330334693035
2.5,0.19999999999999998,1.3483049691573967
2.5,0.22499999999999998,1.3217694894018606
2.5,0.24999999999999997,1.2957106949113937
2.5,0.27499999999999997,1.270115855218977
2.5,0.3,1.2449726891681911
2.5,0.32499999999999996,1.220269345264066
2.5,0.35,1.19599438304614
2.5,0.37499999999999994,1.1721367554222182
2.5,0.39999999999999997,1.1486857919055224
2.5,0.425,1.1256311827017846
2.5,0.44999999999999996,1.1029629635964338
2.5,0.475,1.0806715015953268
2.5,0.49999999999999994,1.0587474812755568
2.5,0.5249999999999999,1.0371818918057014
2.5,0.5499999999999999,1.0159660145975193
2.5,0.575,0.995091411553544
2.5,0.6,0.9745499138772914
3.0,0.0,1.579442963870093
3.0,0.024999999999999998,1.5439498635584057
3.0,0.049999999999999996,1.5092454988092
3.0,0.075,1.4753038673511858
3.0,0.09999999999999999,1.4421000974466065
3.0,0.12499999999999999,1.4096103871098682
3.0,0.15,1.377811947205826
3.0,0.175,1.3466829481418687
3.0,0.19999999999999998,1.3162024698917445
3.0,0.22499999999999998,1.2863504551106946
3.0,0.24999999999999997,1.2571076651210946
3.0,0.27499999999999997,1.228455638565628
3.0,0.3,1.2003766525412707
3.0,0.32499999999999996,1.1728536860421486
3.0,0.35,1.1458703855528127
3.0,0.37499999999999994,1.119411032645794
3.0,0.39999999999999997,1.0934605134485262
3.0,0.425,1.0680042898550153
3.0,0.44999999999999996,1.0430283723670428
3.0,0.475,1.0185192944582844
3.0,0.49999999999999994,0.9944640883626511
3.0,0.5249999999999999,0.9708502621953784
3.0,0.5499999999999999,0.9476657783220559
3.0,0.575,0.9248990328969016
3.0,0.6,0.902538836497196
