covariate,smd_unweighted,smd_overlap,abs_smd_overlap
age,0.2313973492539764,0.00010083980101506933,0.00010083980101506933
pre_hr,0.22432686560687765,0.00032598040125563264,0.00032598040125563264
pre_o2,-0.034061079361446006,-9.563381460609384e-05,9.563381460609384e-05
ref_cr,0.22690848476826145,0.00023717830607379692,0.00023717830607379692
acuity,-0.28905948837516976,-0.00029591723963089583,0.00029591723963089583
sex_male,0.08589310013347093,0.0001335035231953693,0.0001335035231953693
night_onset,-0.08335797830194332,-3.97596683410977e-05,3.97596683410977e-05
chf,0.10830865331774298,0.00035034924972302206,0.00035034924972302206
cirrhosis,-0.08421519405842637,-3.9146806552241486e-05,3.9146806552241486e-05
diabetes,0.14075483662724853,0.00018190220334938622,0.00018190220334938622
ckd,-0.0049408724035797415,-0.00024069665556966253,0.00024069665556966253
cad,0.03568307127954071,-0.00034681474402187013,0.00034681474402187013
copd,0.013531356601086217,-4.9983712773470596e-05,4.9983712773470596e-05
sepsis,0.24767087847439637,0.0003490081205655196,0.0003490081205655196
