arm,t,cif_aki,cif_death
deep,0.0,0.0,0.0
deep,0.035175879396984924,0.018019857811681795,0.001082756508549969
deep,0.07035175879396985,0.023815195150586235,0.001082756508549969
deep,0.10552763819095477,0.02458329328662303,0.0014563170744759392
deep,0.1407035175879397,0.02508409727139241,0.001804141141301628
deep,0.1758793969849246,0.02710970133529598,0.002454767422302348
deep,0.21105527638190955,0.027484522070901362,0.004977123723496606
deep,0.24623115577889448,0.027484522070901362,0.005587908598059304
deep,0.2814070351758794,0.03176289796601247,0.006968136955730668
deep,0.3165829145728643,0.03358946239877811,0.008142637468932673
deep,0.3517587939698492,0.03421595724172549,0.008998941070516344
deep,0.3869346733668342,0.03542448617814927,0.008998941070516344
deep,0.4221105527638191,0.03696378366121303,0.010175785250860506
deep,0.457286432160804,0.03837292365738144,0.012422253065889345
deep,0.49246231155778897,0.03837292365738144,0.012857323180442578
deep,0.5276381909547738,0.03837292365738144,0.013412564504298957
deep,0.5628140703517588,0.03899408936852457,0.015438441190460825
deep,0.5979899497487438,0.03899408936852457,0.015910485145141567
deep,0.6331658291457286,0.04019735572887128,0.017165050192342927
deep,0.6683417085427136,0.04019735572887128,0.017165050192342927
deep,0.7035175879396984,0.04019735572887128,0.01787775921199017
deep,0.7386934673366834,0.04106874862357597,0.01839914365024393
deep,0.7738693467336684,0.043010034707750736,0.019801744374074996
deep,0.8090452261306532,0.04355328914996334,0.019801744374074996
deep,0.8442211055276382,0.04434661125778095,0.020477297762258182
deep,0.8793969849246231,0.04512911063603633,0.020477297762258182
deep,0.914572864321608,0.04643311143483088,0.020477297762258182
deep,0.949748743718593,0.04794822356581651,0.02119795275130911
deep,0.9849246231155779,0.04876958429154425,0.021792586047979484
deep,1.020100502512563,0.05001806704619159,0.022198284102348288
deep,1.0552763819095476,0.05061483688899973,0.02358541659073084
deep,1.0904522613065326,0.05061483688899973,0.024157869970111878
deep,1.1256281407035176,0.05157528455641628,0.024811091731658082
deep,1.1608040201005025,0.052801782507709824,0.026303171383332057
deep,1.1959798994974875,0.052801782507709824,0.026303171383332057
deep,1.2311557788944723,0.05379077759309311,0.026303171383332057
deep,1.2663316582914572,0.05379077759309311,0.026303171383332057
deep,1.3015075376884422,0.05379077759309311,0.026303171383332057
deep,1.3366834170854272,0.05413502010215727,0.026303171383332057
deep,1.3718592964824121,0.05475303998366005,0.026924448331515246
deep,1.4070351758793969,0.05475303998366005,0.02751126017286515
deep,1.4422110552763818,0.05475303998366005,0.02751126017286515
deep,1.4773869346733668,0.05564164308582341,0.028453077614426007
deep,1.5125628140703518,0.05564164308582341,0.028453077614426007
deep,1.5477386934673367,0.05603510354162709,0.028453077614426007
deep,1.5829145728643217,0.05603510354162709,0.029280324689989094
deep,1.6180904522613064,0.05603510354162709,0.030567932190034088
deep,1.6532663316582914,0.05603510354162709,0.030567932190034088
deep,1.6884422110552764,0.05603510354162709,0.03086698767836698
deep,1.7236180904522613,0.05603510354162709,0.03118158535818626
deep,1.7587939698492463,0.05603510354162709,0.03265905151536049
deep,1.793969849246231,0.05603510354162709,0.033514251662903845
deep,1.829145728643216,0.05603510354162709,0.035493040518568886
deep,1.864321608040201,0.05637045279794796,0.035493040518568886
deep,1.899497487437186,0.05637045279794796,0.035493040518568886
deep,1.934673366834171,0.05637045279794796,0.03613189637516654
deep,1.9698492462311559,0.05637045279794796,0.03660216124518405
deep,2.0050251256281406,0.05637045279794796,0.03660216124518405
deep,2.040201005025126,0.05772679580946321,0.03660216124518405
deep,2.0753768844221105,0.05772679580946321,0.03660216124518405
deep,2.1105527638190953,0.05772679580946321,0.03735057377036221
deep,2.1457286432160805,0.05772679580946321,0.03735057377036221
