band,n,events,median_nadir,risk,lo,hi
<50,825,162,46.333333333333336,0.19636363636363635,0.1706897656090044,0.2248521569971968
50-54,1385,163,53.0,0.11768953068592057,0.1017664144267642,0.1357276237702483
55-59,1325,130,57.666666666666664,0.09811320754716982,0.08323881669027092,0.11531125880405438
60-64,1153,77,61.666666666666664,0.06678230702515178,0.0537631275534766,0.08267871547844753
