stratum,risk_high,risk_low,rd,rd_lo,rd_hi,n
day,0.12495800227235894,0.09029685766712323,0.034661144605235714,0.003635984361691612,0.06128344753564506,1945
night,0.1443532870229185,0.07107703301399453,0.07327625400892397,0.03328944357509005,0.10873927182457384,955
