exposure,risk_high,risk_low,rd,rd_lo,rd_hi,rr,rr_lo,rr_hi
Nadir MAP (depth) [PRIMARY],0.13281990156749102,0.08432202331510867,0.048497878252382345,0.026640181369785958,0.07113388910205243,1.5751507891496785,1.2959590715766713,1.9434804069450886
AUT depth-weighted burden,0.11435651986918731,0.09517527943048114,0.01918124043870617,-0.0007585380284351538,0.0409634683761799,1.2015359508633408,0.9924660172683647,1.4886365163927595
Minutes MAP<65 (duration),0.09397261812238325,0.12905699578606292,-0.03508437766367967,-0.05538390234386863,-0.01206489655388849,0.7281481918125629,0.6070118107171077,0.8946718228334188
Minutes MAP<65 (monitoring-adjusted),0.09474701785580449,0.12458114156893904,-0.029834123713134555,-0.05162911027382679,-0.009116705532102982,0.7605245598377717,0.6257746456710668,0.922513750055602
